Cubic Polynomial_0_0,x + x*log(4),tensor(0.2386),-9.179363244637667
Cubic Polynomial_0_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1cd2b0>>
Cubic Polynomial_0_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1cd9d0>>
Cubic Polynomial_0_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1cd940>>
Cubic Polynomial_0_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1cd400>>
Cubic Polynomial_0_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1cd820>>
Cubic Polynomial_0_89,sinh(x)/x,tensor(0.2059),-13.875253731964506
Cubic Polynomial_0_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a1bb0>>
Cubic Polynomial_0_91,sin(x + 5),tensor(0.2515),-7.8574885865787465
Cubic Polynomial_0_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a1070>>
Cubic Polynomial_0_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a1af0>>
Cubic Polynomial_0_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a16a0>>
Cubic Polynomial_0_95,2*x + tan(x),tensor(0.2402),-9.00762634431683
Cubic Polynomial_0_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1da220>>
Cubic Polynomial_0_97,sin(x + 1),tensor(0.2159),-12.186952505328415
Cubic Polynomial_0_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1da0a0>>
Cubic Polynomial_0_99,sin(x)**4,tensor(0.2256),-10.779996051372855
Cubic Polynomial_0_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf8190>>
Cubic Polynomial_0_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf8df0>>
Cubic Polynomial_0_102,3*exp(x),tensor(0.1692),-23.095068084206687
Cubic Polynomial_0_103,x - tan(x),tensor(0.2280),-10.470822502093826
Cubic Polynomial_0_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68def2b0>>
Cubic Polynomial_0_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68def100>>
Cubic Polynomial_0_106,x*exp(x) + exp(x),tensor(0.2005),-14.900957999227808
Cubic Polynomial_0_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68defeb0>>
Cubic Polynomial_0_108,log(x)/4,tensor(0.),0
Cubic Polynomial_0_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec1622b0>>
Cubic Polynomial_0_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec162550>>
Cubic Polynomial_0_111,x**3*cos(4),tensor(0.2273),-10.553578604539492
Cubic Polynomial_0_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1da4f0>>
Cubic Polynomial_0_113,x/12,tensor(0.2300),-10.208712891520264
Cubic Polynomial_0_114,2*x + tan(4),tensor(0.2100),-13.15681550547118
Cubic Polynomial_0_115,sqrt(3)*x**3,tensor(0.2346),-9.639989434069198
Cubic Polynomial_0_116,exp(x/3),tensor(0.2081),-13.482602946272857
Cubic Polynomial_0_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1c9880>>
Cubic Polynomial_0_118,atanh(x**2),tensor(0.2167),-12.067460740134894
Cubic Polynomial_0_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68def610>>
Cubic Polynomial_0_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68def340>>
Cubic Polynomial_0_121,x**2 + exp(x),tensor(0.1986),-15.288371874174675
Cubic Polynomial_0_122,sqrt(3)*x,tensor(0.2369),-9.381139399486871
Cubic Polynomial_0_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1da340>>
Cubic Polynomial_0_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1da190>>
Cubic Polynomial_0_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf8c70>>
Cubic Polynomial_0_126,x + log(x**2),tensor(0.2676),-6.490770012271417
Cubic Polynomial_0_127,x*(x + 2),tensor(0.2270),-10.599284318567918
Cubic Polynomial_1_0,(x**4 + x)**3,tensor(0.2182),-11.83594632785685
Cubic Polynomial_1_1,x/(1 - x),tensor(0.1816),-19.311566591482784
Cubic Polynomial_1_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac154400>>
Cubic Polynomial_1_3,-x + sinh(x),tensor(0.2301),-10.190903834120343
Cubic Polynomial_1_4,sqrt(x + 4),tensor(0.1897),-17.25644240319223
Cubic Polynomial_1_5,cos(asinh(x)),tensor(0.2107),-13.037615304154114
Cubic Polynomial_1_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76042730>>
Cubic Polynomial_1_7,x**3 + x + tan(1),tensor(0.2012),-14.7717768959559
Cubic Polynomial_1_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac1541f0>>
Cubic Polynomial_1_9,x**4/4,tensor(0.2279),-10.471776079382975
Cubic Polynomial_1_10,x**2/sin(1),tensor(0.2180),-11.87504511155969
Cubic Polynomial_1_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69825b20>>
Cubic Polynomial_1_12,x + cos(4),tensor(0.2524),-7.771661401666137
Cubic Polynomial_1_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a17c0>>
Cubic Polynomial_1_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf8700>>
Cubic Polynomial_1_15,x**3 + x + sinh(x),tensor(0.2395),-9.082284536222858
Cubic Polynomial_1_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761e7520>>
Cubic Polynomial_1_17,tan(5*x)/5,tensor(0.2150),-12.336253348482128
Cubic Polynomial_1_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec162040>>
Cubic Polynomial_1_19,x**5,tensor(0.2318),-9.981350544080227
Cubic Polynomial_1_20,4/x,tensor(0.0339),-809.0464881674661
Cubic Polynomial_1_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68defdf0>>
Cubic Polynomial_1_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68def130>>
Cubic Polynomial_1_23,x**2*sin(x),tensor(0.2323),-9.917345340037562
Cubic Polynomial_1_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1cdb50>>
Cubic Polynomial_1_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761e7b20>>
Cubic Polynomial_1_26,4*x**2,tensor(0.1940),-16.259372194224404
Cubic Polynomial_1_27,sin(x),tensor(0.2338),-9.74461093380809
Cubic Polynomial_1_28,x*acosh(x)**3,tensor(0.),0
Cubic Polynomial_1_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3880>>
Cubic Polynomial_1_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3070>>
Cubic Polynomial_1_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3cd0>>
Cubic Polynomial_1_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3a60>>
Cubic Polynomial_1_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3460>>
Cubic Polynomial_1_34,5,tensor(0.),0
Cubic Polynomial_1_35,cos(x + 1),tensor(0.2157),-12.216771267395357
Cubic Polynomial_1_36,-3*x,tensor(0.2110),-12.982561369792696
Cubic Polynomial_1_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90176c40>>
Cubic Polynomial_1_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90176b50>>
Cubic Polynomial_1_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90176a90>>
Cubic Polynomial_1_40,x*cosh(2),tensor(0.2403),-8.989763918944298
Cubic Polynomial_1_41,x**2*(x + cos(x)),tensor(0.2255),-10.797616730766455
Cubic Polynomial_1_42,x + 3,tensor(0.1754),-21.108786761105733
Cubic Polynomial_1_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6dcc8a60>>
Cubic Polynomial_1_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6dcc88e0>>
Cubic Polynomial_1_45,tan(x + 2),tensor(0.0998),-80.2755239709835
Cubic Polynomial_1_46,x**2/2 + sin(x),tensor(0.2285),-10.397187767281014
Cubic Polynomial_1_47,x*cos(6),tensor(0.2340),-9.711706013817647
Cubic Polynomial_1_48,x + sin(x),tensor(0.2373),-9.32591826685312
Cubic Polynomial_1_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c12cc70>>
Cubic Polynomial_1_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b880>>
Cubic Polynomial_1_51,x**2 + 9*x,tensor(0.2148),-12.356602671550055
Cubic Polynomial_1_52,8*x**3,tensor(0.2386),-9.18470710074267
Cubic Polynomial_1_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68defa60>>
Cubic Polynomial_1_54,4*sin(x),tensor(0.2401),-9.014407182591942
Cubic Polynomial_1_55,x + 1/(x + 2),tensor(0.2194),-11.661498741058395
Cubic Polynomial_1_56,x**5 + 2,tensor(0.1901),-17.147793540939798
Cubic Polynomial_1_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3ee0>>
Cubic Polynomial_1_58,x**2*cos(4),tensor(0.2364),-9.436816490134477
Cubic Polynomial_1_59,x**3*sin(1),tensor(0.2322),-9.933285804718423
Cubic Polynomial_1_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf82e0>>
Cubic Polynomial_1_61,x*(x + 5),tensor(0.2289),-10.343953101033758
Cubic Polynomial_1_62,x**2,tensor(0.2197),-11.609894842362781
Cubic Polynomial_1_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac154c70>>
Cubic Polynomial_1_64,x + tan(x) + 1,tensor(0.2140),-12.487814876718977
Cubic Polynomial_1_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69825310>>
Cubic Polynomial_1_66,2*x - exp(x),tensor(0.2699),-6.317074701618535
Cubic Polynomial_1_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a1f40>>
Cubic Polynomial_1_68,sin(5*x),tensor(0.2257),-10.764273018774366
Cubic Polynomial_1_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69825160>>
Cubic Polynomial_1_70,4*x + sin(x),tensor(0.2395),-9.078307920514733
Cubic Polynomial_1_71,x**5/5 + sin(x),tensor(0.2342),-9.697407275736504
Cubic Polynomial_1_72,x*cosh(x)**2,tensor(0.2372),-9.345636903972515
Cubic Polynomial_1_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac154220>>
Cubic Polynomial_1_74,x*(x - 2),tensor(0.2092),-13.292817135841982
Cubic Polynomial_1_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69bf89d0>>
Cubic Polynomial_1_76,x**3*(x + 3),tensor(0.2305),-10.148460139672748
Cubic Polynomial_1_77,x**4/4,tensor(0.2279),-10.471776079382975
Cubic Polynomial_1_78,log(tanh(x**2)),tensor(0.2634),-6.820872747297836
Cubic Polynomial_1_79,cos(x + 3),tensor(0.2497),-8.027729433582987
Cubic Polynomial_1_80,cos(x - 3),tensor(0.2514),-7.866988452472315
Cubic Polynomial_1_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f5c0a3af0>>
Cubic Polynomial_1_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761e7850>>
Cubic Polynomial_1_83,x*(x**2 + 2),tensor(0.2393),-9.106648810911276
Cubic Polynomial_1_84,x,tensor(0.2342),-9.692198130256308
Cubic Polynomial_1_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b8e0>>
Cubic Polynomial_1_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b9a0>>
Cubic Polynomial_1_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76042220>>
Cubic Polynomial_1_88,sin(x + 2),tensor(0.2112),-12.944537109236439
Cubic Polynomial_1_89,x + acosh(x),tensor(0.),0
Cubic Polynomial_1_90,x*(x**3 + x),tensor(0.2137),-12.538624674744687
Cubic Polynomial_1_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3250>>
Cubic Polynomial_1_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3b20>>
Cubic Polynomial_1_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3760>>
Cubic Polynomial_1_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3730>>
Cubic Polynomial_1_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3640>>
Cubic Polynomial_1_96,x + tan(4),tensor(0.2075),-13.591994972348717
Cubic Polynomial_1_97,x*exp(x) + x,tensor(0.2267),-10.637260826492085
Cubic Polynomial_1_98,4*x*sin(x),tensor(0.1973),-15.553341540536792
Cubic Polynomial_1_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e688e5f40>>
Cubic Polynomial_1_100,x**2/2 + sinh(x),tensor(0.2294),-10.288291587234841
Cubic Polynomial_1_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3100>>
Cubic Polynomial_1_102,-sin(x),tensor(0.2246),-10.91806304035712
Cubic Polynomial_1_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c38e0>>
Cubic Polynomial_1_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3e20>>
Cubic Polynomial_1_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0c3fa0>>
Cubic Polynomial_1_106,cos(x + 2),tensor(0.2330),-9.832260750008848
Cubic Polynomial_1_107,4*x + exp(x),tensor(0.2106),-13.056105623899063
Cubic Polynomial_1_108,x*tan(5),tensor(0.2084),-13.435650018559546
Cubic Polynomial_1_109,x/sin(1),tensor(0.2349),-9.603538942426978
Cubic Polynomial_1_110,5*x + sin(x),tensor(0.2373),-9.331927023244107
Cubic Polynomial_1_111,x + tanh(x),tensor(0.2371),-9.348842856142058
Cubic Polynomial_1_112,exp(x + 2),tensor(0.1180),-54.83539877393322
Cubic Polynomial_1_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4b6d0>>
Cubic Polynomial_1_114,x*cos(1) + x,tensor(0.2362),-9.45390942819866
Cubic Polynomial_1_115,asin(x),tensor(0.2350),-9.601703046369542
Cubic Polynomial_1_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec162be0>>
Cubic Polynomial_1_117,x + sqrt(x - 1),tensor(0.),0
Cubic Polynomial_1_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a1e50>>
Cubic Polynomial_1_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a1a90>>
Cubic Polynomial_1_120,1/13,tensor(0.),0
Cubic Polynomial_1_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7633af70>>
Cubic Polynomial_1_122,1 - x**2,tensor(0.2158),-12.20774287892267
Cubic Polynomial_1_123,tan(x + 4),tensor(0.1464),-32.992612953353834
Cubic Polynomial_1_124,(exp(x) + sin(x))/x,tensor(0.1106),-63.62008298443044
Cubic Polynomial_1_125,sinh(x - 1),tensor(0.2824),-5.459683201825707
Cubic Polynomial_1_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69825070>>
Cubic Polynomial_1_127,x**3*cos(x),tensor(0.2317),-9.998291378348053
Cubic Polynomial_2_0,x**4,tensor(0.2231),-11.11968451092133
Cubic Polynomial_2_1,x**2/2 + exp(x),tensor(0.2025),-14.501779952647327
Cubic Polynomial_2_2,sqrt(1 - x),tensor(0.2064),-13.78286894817856
Cubic Polynomial_2_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6de4bb20>>
Cubic Polynomial_2_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec162a90>>
Cubic Polynomial_2_5,x**2/sin(1),tensor(0.2180),-11.87504511155969
Cubic Polynomial_2_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec162580>>
Cubic Polynomial_2_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec162bb0>>
Cubic Polynomial_2_8,x + tan(5),tensor(0.3681),-1.9478525696569728
Cubic Polynomial_2_9,sqrt(x + 1),tensor(0.2108),-13.009162818937101
Cubic Polynomial_2_10,3*x**3 - x,tensor(0.2337),-9.755202456100045
Cubic Polynomial_2_11,4*x*tan(3),tensor(0.2265),-10.663188313916107
Cubic Polynomial_2_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c0a15b0>>
Cubic Polynomial_2_13,x + Abs(x),tensor(0.2201),-11.561436645913547
Cubic Polynomial_2_14,x**3 + 5,tensor(0.1496),-31.325657113885043
Cubic Polynomial_2_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec194a30>>
Cubic Polynomial_2_16,x*cos(x),tensor(0.2329),-9.850832977369633
Cubic Polynomial_2_17,3*x**2 + exp(x),tensor(0.1839),-18.687993270408917
Cubic Polynomial_2_18,sin(x + 5),tensor(0.2515),-7.8574885865787465
Cubic Polynomial_2_19,x + tanh(3),tensor(0.2109),-13.005313888929349
Cubic Polynomial_2_20,2*x + 9*log(x),tensor(0.),0
Cubic Polynomial_2_21,1,tensor(0.),0
Cubic Polynomial_2_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2e7f70>>
Cubic Polynomial_2_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2e7880>>
Cubic Polynomial_2_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2e7250>>
Cubic Polynomial_2_25,x*(x**2 + sinh(x)),tensor(0.2214),-11.365864260322383
Cubic Polynomial_2_26,2*x + cos(x),tensor(0.2176),-11.926821384772575
Cubic Polynomial_2_27,x*(x + 5),tensor(0.2289),-10.343953101033758
Cubic Polynomial_2_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76042400>>
Cubic Polynomial_2_29,(x + cos(x))**2,tensor(0.2101),-13.12662384316215
